Year,URL,Date,Competition,Opponent,Goals_Scored,Goals_Received,Attendance,Month,DOW,Result,temperature,rain
2019,https://www.houstondynamofc.com/competitions/mls-regular-season/2019/matches/houvsla-10-06-2019,Sunday October 6 2019,MLS Regular Season,LA,4,2,21777,October,Sunday,W,28.5,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsla-02-29-2020,Saturday February 29 2020,MLS Regular Season,LA,1,1,22039,February,Saturday,D,15.7,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsmin-09-02-2020,Wednesday September 2 2020,MLS Regular Season,Minnesota,3,0,2486,September,Wednesday,W,30.5,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsskc-09-05-2020,Saturday September 5 2020,MLS Regular Season,Kansas City,2,1,2486,September,Saturday,W,27.5,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsmin-09-19-2020,Saturday September 19 2020,MLS Regular Season,Minnesota,2,2,2486,September,Saturday,D,25.0,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsskc-10-03-2020,Saturday October 3 2020,MLS Regular Season,Kansas City,1,2,2004,October,Saturday,L,22.0,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsdal-10-07-2020,Wednesday October 7 2020,MLS Regular Season,Dallas,2,0,1582,October,Wednesday,W,24.4,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsnsh-10-14-2020,Wednesday October 14 2020,MLS Regular Season,Nashville,1,3,1328,October,Wednesday,L,24.5,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvsccsc-10-24-2020,Saturday October 24 2020,MLS Regular Season,Columbus,1,1,2237,October,Saturday,D,15.6,0
2020,https://www.houstondynamofc.com/competitions/mls-regular-season/2020/matches/houvscol-11-08-2020,Sunday November 8 2020,MLS Regular Season,Colorado,1,2,2327,November,Sunday,L,21.4,0
2021,https://www.houstondynamofc.com/competitions/mls-regular-season/2021/matches/houvssj-04-16-2021,Friday April 16 2021,MLS Regular Season,San Jose,2,1,6376,April,Friday,W,19.2,1
